ilce;mahalle;nufus
Pendik;Çamlık Mahallesi;20858
Ümraniye;Çamlık Mahallesi;24233
Çekmeköy;Çatalmeşe Mahallesi;14851
Çekmeköy;Ekşioğlu Mahallesi;10321
Çekmeköy;Güngören Mahallesi;12998
Çekmeköy;Hamidiye Mahallesi;29774
Kâğıthane;Hamidiye Mahallesi;40778
Sultanbeyli;Hamidiye Mahallesi;26295
Çekmeköy;Hüseyinli Mahallesi;849
Çekmeköy;Kirazlıdere Mahallesi;10809
Çekmeköy;Koçullu Mahallesi;1398
Çekmeköy;Mehmet Akif Mahallesi;32848
Küçükçekmece;Mehmet Akif Mahallesi;52374
Sultanbeyli;Mehmet Akif Mahallesi;28367
Ümraniye;Mehmet Akif Mahallesi;26315
Çekmeköy;Nişantepe Mahallesi;12546
Çekmeköy;Reşadiye Mahallesi;2887
Çekmeköy;Sırapınar Mahallesi;1193
Çekmeköy;Soğukpınar Mahallesi;10520
Çekmeköy;Sultançiftliği Mahallesi;20457
Sultangazi;Sultançiftliği Mahallesi;37567
Çekmeköy;Taşdelen Mahallesi;12508
Esenler;Atışalanı Mahallesi;33180
Esenler;Birlik Mahallesi;26141
Esenler;Çifte Havuzlar Mahallesi;2108
Esenler;Davutpaşa Mahallesi;15622
Esenler;Kemer Mahallesi;21571
Esenler;Menderes Mahallesi;30677
Esenler;Namık Kemal Mahallesi;15704
Esenyurt;Namık Kemal Mahallesi;23318
Ümraniye;Namık Kemal Mahallesi;28517
Esenler;Nine Hatun Mahallesi;39295
Esenler;Oruçreis Mahallesi;33595
Esenler;Tuna Mahallesi;30909
Esenler;Turgut Reis Mahallesi;43080
Sultanbeyli;Turgut Reis Mahallesi;19882
Esenyurt;Akçaburgaz Mahallesi;26608
Esenyurt;Akşemseddin Mahallesi;7943
Esenyurt;Ardıçlı Mahallesi;8066
Esenyurt;Aşık Veysel Mahallesi;15713
Esenyurt;Balıkyolu Mahallesi;29653
Esenyurt;Barbaros Hayrettin Paşa Mahallesi;27731
